                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.61536,                0.63703,                 1.0863,                0.90851,                0.78805,                0.87075,                0.68364,                0.83246,                0.80105,                 1.4123,              0.0012324,              0.0012324,              0.0012324
                     82,                0.60767,                0.59765,                 1.0792,                0.91728,                0.79543,                 0.8848,                0.71423,                0.78574,                0.67876,                 1.3614,              0.0012269,              0.0012269,              0.0012269
                     83,                0.59378,                0.59963,                  1.084,                0.89068,                0.80645,                0.88094,                0.70094,                 0.8187,                0.74125,                 1.4006,              0.0012214,              0.0012214,              0.0012214
                     84,                0.60588,                0.59054,                 1.0902,                0.90855,                0.76827,                0.88404,                0.71011,                0.80181,                0.70062,                   1.42,              0.0012159,              0.0012159,              0.0012159
                     85,                0.59395,                0.60188,                 1.0746,                 0.9317,                0.75657,                0.86842,                0.68823,                0.84633,                0.74444,                  1.452,              0.0012104,              0.0012104,              0.0012104
                     86,                0.61851,                0.62594,                 1.1075,                  0.924,                0.78531,                0.88062,                0.70667,                0.80378,                 0.7313,                 1.3971,              0.0012049,              0.0012049,              0.0012049
                     87,                0.60922,                0.58418,                   1.09,                0.95082,                0.77197,                0.90229,                0.69481,                0.84662,                0.72001,                  1.399,              0.0011994,              0.0011994,              0.0011994
                     88,                0.58175,                0.58216,                 1.0611,                0.92982,                0.79764,                0.89916,                0.68815,                 0.8177,                0.65816,                 1.3845,              0.0011939,              0.0011939,              0.0011939
                     89,                0.59924,                0.56807,                 1.0807,                0.89515,                0.80645,                0.88715,                0.71215,                0.75573,                 0.6565,                 1.3169,              0.0011884,              0.0011884,              0.0011884
                     90,                0.56101,                0.55434,                 1.0495,                0.93119,                0.79032,                0.90119,                0.72925,                 0.7558,                0.65077,                    1.3,              0.0011829,              0.0011829,              0.0011829
                     91,                0.58258,                0.56092,                 1.0623,                  0.862,                0.85213,                0.90875,                0.71958,                0.78366,                0.64016,                 1.3407,              0.0011774,              0.0011774,              0.0011774
                     92,                0.59177,                0.58422,                 1.0757,                0.90323,                0.82644,                0.91182,                0.71817,                0.78842,                  0.679,                 1.3764,              0.0011719,              0.0011719,              0.0011719
                     93,                 0.5967,                0.57809,                 1.0576,                0.87443,                0.79839,                0.88704,                0.66008,                0.87717,                 0.7617,                 1.4688,              0.0011664,              0.0011664,              0.0011664
                     94,                0.58016,                0.57843,                 1.0626,                0.87012,                0.85484,                0.89668,                0.71315,                0.79539,                0.67498,                 1.3956,              0.0011609,              0.0011609,              0.0011609
                     95,                0.58794,                0.57783,                 1.0686,                0.91809,                0.83871,                0.91088,                0.70879,                0.78806,                 0.6398,                  1.374,              0.0011554,              0.0011554,              0.0011554
                     96,                0.55016,                0.54521,                 1.0451,                0.92223,                0.78226,                0.88971,                0.68241,                 0.8108,                0.70178,                 1.3567,              0.0011499,              0.0011499,              0.0011499
                     97,                0.57382,                0.55645,                 1.0608,                0.93451,                0.80131,                0.89783,                0.73105,                0.71916,                0.62954,                 1.3357,              0.0011444,              0.0011444,              0.0011444
                     98,                0.56955,                0.54078,                 1.0583,                0.90128,                0.86538,                 0.9077,                0.71104,                0.81918,                0.63008,                 1.4487,              0.0011389,              0.0011389,              0.0011389
                     99,                 0.5557,                0.52853,                 1.0562,                0.88827,                0.85223,                 0.8879,                0.70536,                0.80867,                0.65318,                 1.4227,              0.0011334,              0.0011334,              0.0011334
                    100,                0.56881,                0.57147,                 1.0532,                0.92322,                0.81572,                0.88823,                0.71059,                0.82198,                 0.6316,                 1.4575,              0.0011279,              0.0011279,              0.0011279
                    101,                0.57331,                0.57804,                  1.059,                0.91796,                0.78591,                0.88927,                0.70116,                 0.8048,                 0.6623,                 1.4481,              0.0011224,              0.0011224,              0.0011224
                    102,                0.56485,                0.56203,                 1.0647,                 0.9602,                0.79839,                0.90533,                0.73695,                0.75146,                0.61928,                 1.3406,              0.0011169,              0.0011169,              0.0011169
                    103,                0.54291,                0.55591,                 1.0477,                0.81926,                0.87293,                0.91033,                0.72915,                 0.7494,                0.60894,                  1.331,              0.0011114,              0.0011114,              0.0011114
                    104,                0.54666,                0.54233,                 1.0338,                0.93797,                0.80645,                0.91577,                0.74963,                0.71985,                0.58959,                 1.3057,              0.0011059,              0.0011059,              0.0011059
                    105,                 0.5293,                0.54372,                 1.0291,                0.89576,                0.84035,                0.90343,                0.73536,                0.74337,                0.63007,                  1.345,              0.0011004,              0.0011004,              0.0011004
                    106,                0.58279,                0.59301,                 1.0835,                0.89064,                0.82258,                0.89079,                 0.7317,                0.73568,                0.64682,                 1.3178,              0.0010949,              0.0010949,              0.0010949
                    107,                0.56207,                0.55611,                 1.0647,                0.93033,                0.81929,                0.88808,                0.72068,                0.76879,                0.66811,                 1.3848,              0.0010894,              0.0010894,              0.0010894
                    108,                0.56346,                0.55226,                  1.057,                0.95538,                0.79839,                0.89146,                0.71711,                0.77717,                0.65296,                 1.3995,              0.0010839,              0.0010839,              0.0010839
                    109,                0.53585,                0.53072,                 1.0407,                0.93224,                 0.7982,                0.89806,                0.72815,                0.76631,                0.64393,                 1.3695,              0.0010784,              0.0010784,              0.0010784
                    110,                0.58652,                0.55853,                 1.0624,                0.90178,                0.81252,                0.90018,                0.73055,                0.73728,                0.64214,                 1.3055,              0.0010729,              0.0010729,              0.0010729
                    111,                0.53375,                0.51441,                 1.0434,                0.87584,                0.83871,                0.89839,                0.73661,                0.73614,                0.61806,                 1.2795,              0.0010674,              0.0010674,              0.0010674
                    112,                0.53858,                0.52377,                 1.0552,                 0.8961,                0.81135,                0.89317,                0.72409,                0.71102,                  0.642,                 1.2626,              0.0010619,              0.0010619,              0.0010619
                    113,                0.53838,                0.51621,                  1.024,                0.89156,                0.81927,                0.89644,                0.72292,                0.74741,                0.65289,                 1.3208,              0.0010564,              0.0010564,              0.0010564
                    114,                0.53317,                0.52844,                  1.025,                0.82898,                0.81121,                0.88625,                0.72017,                0.71026,                0.63861,                 1.3187,              0.0010509,              0.0010509,              0.0010509
                    115,                0.53918,                0.51874,                 1.0463,                0.84019,                 0.8347,                0.87129,                0.69882,                0.74369,                0.71126,                 1.3295,              0.0010454,              0.0010454,              0.0010454
                    116,                0.53135,                0.51484,                 1.0361,                 0.9401,                0.78226,                0.88254,                0.70886,                0.77529,                0.66154,                 1.3557,              0.0010399,              0.0010399,              0.0010399
                    117,                0.51053,                0.51361,                 1.0251,                0.89416,                0.82025,                0.87267,                 0.7068,                0.76768,                0.68749,                 1.3661,              0.0010344,              0.0010344,              0.0010344
                    118,                0.51981,                0.50268,                 1.0242,                0.88089,                0.81042,                0.86914,                0.70046,                0.74521,                 0.7013,                 1.3448,              0.0010289,              0.0010289,              0.0010289
                    119,                0.52952,                0.53764,                 1.0522,                0.89564,                0.83871,                0.90689,                0.71223,                0.78741,                0.62157,                 1.3918,              0.0010234,              0.0010234,              0.0010234
                    120,                0.53148,                0.51299,                 1.0229,                0.90252,                 0.8107,                0.89801,                0.72503,                0.74196,                0.63126,                  1.344,              0.0010179,              0.0010179,              0.0010179
                    121,                0.53638,                0.50937,                 1.0724,                0.92816,                0.77681,                0.87068,                0.71071,                0.78314,                  0.666,                 1.3984,              0.0010124,              0.0010124,              0.0010124
                    122,                0.54318,                0.51294,                 1.0513,                0.89014,                0.80589,                0.88616,                0.68886,                0.81265,                0.76858,                 1.4507,              0.0010069,              0.0010069,              0.0010069
                    123,                 0.5489,                0.50798,                 1.0464,                0.90408,                0.84119,                0.90559,                0.72816,                0.69554,                0.65496,                 1.2735,              0.0010014,              0.0010014,              0.0010014
                    124,                0.54486,                0.52331,                 1.0524,                0.94195,                0.78226,                 0.9087,                 0.7254,                0.73966,                0.66011,                 1.3482,             0.00099587,             0.00099587,             0.00099587
                    125,                 0.5089,                0.49943,                 1.0263,                0.88319,                 0.8366,                0.89005,                0.70534,                0.78474,                0.65432,                  1.408,             0.00099036,             0.00099036,             0.00099036
                    126,                0.51301,                0.50485,                 1.0219,                0.87605,                0.83871,                0.88662,                0.69648,                0.78079,                0.65403,                 1.4143,             0.00098486,             0.00098486,             0.00098486
                    127,                0.55806,                0.53372,                 1.0487,                 0.8707,                0.83871,                 0.8997,                0.71863,                0.81579,                 0.6175,                 1.4552,             0.00097936,             0.00097936,             0.00097936
                    128,                0.52484,                0.50189,                 1.0287,                0.95815,                0.77415,                0.89722,                0.68859,                0.88374,                0.63821,                 1.5759,             0.00097386,             0.00097386,             0.00097386
                    129,                0.49819,                0.48673,                 1.0046,                0.90147,                0.86572,                 0.9075,                0.71593,                0.82719,                0.60372,                 1.4419,             0.00096836,             0.00096836,             0.00096836
                    130,                0.51278,                0.47421,                 1.0129,                0.93219,                0.81887,                 0.8969,                0.72881,                0.73007,                0.59536,                 1.3249,             0.00096286,             0.00096286,             0.00096286
                    131,                 0.4862,                0.47573,                 1.0116,                0.90637,                0.78389,                0.87698,                0.69865,                0.76163,                0.66683,                 1.3773,             0.00095736,             0.00095736,             0.00095736
                    132,                0.51776,                0.50566,                 1.0168,                0.91033,                0.80908,                0.88031,                0.70086,                0.78429,                0.67508,                 1.4072,             0.00095186,             0.00095186,             0.00095186
